SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentNoScore,PercentParticipation
2020-21,Walla Walla Public Schools,All,All Students,04,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,ELL,Non-English Language Learners,04,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,FRL,Non-Low Income,04,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,FRL,Low-Income,04,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Gender,Female,04,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Gender,Male,04,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,04,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Migrant,Non Migrant,04,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,White,04,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),04,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,s504,Non Section 504,04,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,SWD,Students with Disabilities,04,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,All,All Students,04,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,FRL,Non-Low Income,04,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,FRL,Low-Income,04,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Gender,Female,04,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Gender,Male,04,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,04,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Migrant,Non Migrant,04,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Military,Non Military Parent,04,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,White,04,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),04,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,s504,Non Section 504,04,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,SWD,Students with Disabilities,04,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,All,All Students,04,SBAC,ELA,0.3661202185792,0.2377049180327,0.1502732240437,0.2322404371584,0.0136612021857,0.9863387978142
2020-21,Walla Walla Public Schools,ELL,English Language Learners,04,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,ELL,Non-English Language Learners,04,SBAC,ELA,0.2847682119205,0.2417218543046,0.182119205298,0.2814569536423,0.0099337748344,0.9900662251655
2020-21,Walla Walla Public Schools,Foster,Non-Foster Care,04,SBAC,ELA,0.3661202185792,0.2377049180327,0.1502732240437,0.2322404371584,0.0136612021857,0.9863387978142
